"Santa Eulàlia de Ronçana","Total de votantes",4263
"Santa Eulàlia de Ronçana","Abstención",1122
"Santa Eulàlia de Ronçana","Votos nulos",23
"Santa Eulàlia de Ronçana","Votos en blanco",19
"Santa Eulàlia de Ronçana","Votos a candidaturas",4221
"Santa Eulàlia de Ronçana","JxSí",2012
"Santa Eulàlia de Ronçana","C's",758
"Santa Eulàlia de Ronçana","CUP",379
"Santa Eulàlia de Ronçana","PSC",348
"Santa Eulàlia de Ronçana","CatSíqueesPot",332
"Santa Eulàlia de Ronçana","PP",252
"Santa Eulàlia de Ronçana","unio.cat",100
"Santa Eulàlia de Ronçana","PACMA",22
"Santa Eulàlia de Ronçana","RECORTES CERO-ELS VERDS",18
"Sant Sadurní d'Osormort","Total de votantes",64
"Sant Sadurní d'Osormort","Abstención",10
"Sant Sadurní d'Osormort","Votos nulos",0
"Sant Sadurní d'Osormort","Votos en blanco",0
"Sant Sadurní d'Osormort","Votos a candidaturas",64
"Sant Sadurní d'Osormort","JxSí",40
"Sant Sadurní d'Osormort","unio.cat",9
"Sant Sadurní d'Osormort","C's",5
"Sant Sadurní d'Osormort","CUP",5
"Sant Sadurní d'Osormort","PP",3
"Sant Sadurní d'Osormort","PSC",1
"Sant Sadurní d'Osormort","CatSíqueesPot",1
"Sant Sadurní d'Osormort","PACMA",0
"Sant Sadurní d'Osormort","RECORTES CERO-ELS VERDS",0
"Calldetenes","Total de votantes",1594
"Calldetenes","Abstención",257
"Calldetenes","Votos nulos",1
"Calldetenes","Votos en blanco",12
"Calldetenes","Votos a candidaturas",1581
"Calldetenes","JxSí",1220
"Calldetenes","CUP",137
"Calldetenes","PP",59
"Calldetenes","PSC",49
"Calldetenes","C's",46
"Calldetenes","unio.cat",35
"Calldetenes","CatSíqueesPot",31
"Calldetenes","PACMA",4
"Calldetenes","RECORTES CERO-ELS VERDS",0
"Vilafranca del Penedès","Total de votantes",21513
"Vilafranca del Penedès","Abstención",5769
"Vilafranca del Penedès","Votos nulos",101
"Vilafranca del Penedès","Votos en blanco",92
"Vilafranca del Penedès","Votos a candidaturas",21320
"Vilafranca del Penedès","JxSí",10748
"Vilafranca del Penedès","C's",2844
"Vilafranca del Penedès","CUP",2383
